Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	2.0	Others	2.071
BIOL-BS	0.0	Others	3.083
Others	3.514	Others	3.545
Others	0.0	Others	1.071
Others	0.0	Others	2.273
Others	1.996	Others	1.908
Others	2.156	Others	1.99
Others	2.14	Others	2.033
Others	2.826	Others	2.826
BIOL-BS	2.186	Others	2.087
Others	2.903	Others	2.909
Others	3.182	Others	2.972
Others	2.79	Others	2.587
Others	3.464	Others	3.364
BIOL-BS	2.406	Others	2.431
Others	3.388	Others	3.297
BIOL-BS	0.0	Others	3.4
Others	2.825	Others	2.882
Others	3.091	Others	3.125
Others	2.571	Others	2.444
Others	2.962	Others	2.9
Others	4.0	Others	2.588
Others	2.333	Others	1.667
Others	3.333	Others	3.484
Others	2.0	Others	2.059
CS-BS	2.0	Others	1.818
Others	3.0	Others	2.605
Others	3.182	Others	3.087
Others	2.786	Others	2.62
BIOL-BS	2.918	Others	2.587
Others	0.0	Others	2.357
Others	0.0	Others	3.727
Others	0.0	Others	3.125
Others	0.0	Others	2.727
Others	0.0	Others	2.727
Others	3.0	Others	2.759
Others	3.25	Others	3.0
Others	0.0	Others	1.75
Others	3.5	Others	3.7
Others	0.0	Others	3.727
Others	0.0	Others	3.455
Others	0.0	Others	1.25
Others	0.0	Others	3.143
Others	0.0	Others	0.182
BIOL-BS	4.0	Others	1.706
Others	0.0	Others	0.667
BIOL-BS	0.0	Others	0.636
BIOL-BS	0.0	Others	3.222
Others	2.563	Others	2.439
Others	0.0	Others	2.5
CHEM-BS	3.251	Others	2.964
Others	3.14	Others	3.183
Others	2.34	Others	2.35
Others	2.841	Others	2.821
CHEM-BS	3.182	Others	3.273
CS-BS	3.333	Others	2.957
Others	2.607	Others	2.775
Others	3.7	Others	3.8
CS-BS	2.8	Others	2.658
Others	2.386	Others	2.458
Others	3.5	Others	3.533
CHEM-BS	2.19	Others	1.926
Others	4.0	Others	3.714
Others	2.368	Others	2.273
