Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	0.0	Others	0.842
Others	3.0	Others	2.481
Others	1.417	Others	0.833
Others	4.0	Others	3.609
Others	3.357	BIOL-BS	2.552
Others	1.286	Others	1.6
Others	2.0	Others	2.13
Others	3.143	Others	3.033
Others	1.455	Others	1.1
Others	2.759	Others	2.422
Others	1.25	Others	1.533
BIOL-BS	3.357	Others	3.538
Others	2.636	Others	2.565
IT-BS	0.0	Others	1.429
CHEM-BS	0.0	Others	0.182
Others	0.0	Others	4.0
Others	3.133	Others	3.226
Others	0.0	BIOL-BS	1.909
CHEM-BS	3.313	BIOL-BS	2.586
Others	3.357	Others	3.323
Others	2.737	Others	2.772
Others	2.364	Others	1.913
Others	2.182	Others	2.4
Others	2.467	Others	1.917
CHEM-BS	1.8	Others	2.222
Others	2.289	Others	2.156
Others	2.5	Others	2.333
Others	0.0	IT-BS	0.0
Others	2.468	Others	2.475
IT-BS	3.333	Others	2.5
Others	2.418	Others	2.321
CHEM-BS	2.5	BIOL-BS	1.68
Others	4.0	Others	3.818
BIOL-BS	1.125	Others	0.682
Others	2.19	Others	2.083
Others	2.909	Others	2.174
BIOL-BS	2.867	Others	1.931
Others	2.636	Others	2.429
Others	0.0	BIOL-BS	1.182
Others	1.786	BIOL-BS	1.5
Others	3.178	Others	3.295
PHYS-BS	4.0	Others	3.368
Others	2.0	Others	1.25
Others	3.357	Others	3.111
BIOL-BS	0.364	Others	0.929
Others	0.0	Others	3.182
CS-BS	4.0	Others	3.893
Others	2.5	Others	2.059
CS-BS	2.88	Others	2.775
Others	3.75	Others	3.4
Others	2.091	Others	1.926
CS-BS	3.143	BIOL-BS	2.667
Others	3.143	BIOL-BS	3.111
Others	2.8	Others	2.5
Others	3.182	Others	3.1
Others	2.714	Others	2.8
Others	1.769	Others	1.682
BIOL-BS	2.833	Others	3.148
CS-BS	3.75	Others	3.76
BIOL-BS	2.909	Others	1.778
Others	0.0	BIOL-BS	3.182
CS-BS	2.105	Others	2.364
Others	2.571	Others	2.316
Others	2.545	Others	2.559
Others	2.182	Others	1.95
Others	1.143	Others	0.552
Others	2.545	Others	2.913
Others	3.75	Others	2.655
BIOL-BS	3.533	Others	1.893
IT-BS	2.455	Others	2.208
Others	2.675	Others	2.692
BIOL-BS	2.625	Others	1.167
Others	3.667	Others	2.364
Others	3.222	Others	2.708
Others	1.636	Others	1.636
Others	2.8	Others	2.444
Others	2.5	Others	1.882
Others	2.636	BIOL-BS	2.417
Others	0.0	Others	1.818
BIOL-BS	0.0	Others	4.0
Others	1.889	Others	1.923
Others	2.439	Others	2.34
Others	3.571	Others	3.276
Others	3.129	Others	3.106
Others	2.364	Others	2.174
Others	0.75	Others	1.05
Others	3.4	Others	3.4
Others	3.292	Others	3.393
Others	0.0	Others	3.625
Others	3.727	Others	3.571
Others	2.571	Others	3.233
Others	0.273	Others	0.143
Others	3.786	Others	3.8
Others	0.0	Others	1.222
Others	0.75	Others	0.545
BIOL-BS	1.545	Others	1.52
CS-BS	1.636	Others	1.636
Others	0.0	Others	1.929
Others	2.636	Others	2.696
Others	3.515	Others	3.461
Others	2.67	Others	2.741
Others	2.097	Others	2.288
Others	0.0	BIOL-BS	2.727
Others	0.636	CS-BS	0.962
Others	0.0	PHYS-BS	1.5
BIOL-BS	2.286	Others	2.222
Others	3.183	Others	3.236
Others	2.909	Others	3.375
Others	2.913	Others	2.741
Others	1.75	Others	2.05
BIOL-BS	2.0	Others	1.375
Others	3.25	Others	2.696
BIOL-BS	2.75	Others	2.6
Others	2.73	Others	2.848
CHEM-BS	2.2	BIOL-BS	1.222
Others	4.0	Others	2.75
Others	0.0	Others	3.727
Others	3.558	PHYS-BS	3.6
Others	0.0	Others	4.0
CS-BS	1.857	Others	2.481
Others	3.1	BIOL-BS	3.25
Others	3.158	BIOL-BS	3.186
Others	3.186	Others	3.19
Others	2.194	Others	2.432
CS-BS	1.982	Others	1.983
